context,response
"It's not your fault, Eric.","No, it's mine. Eric."
How's the old place doing?,"Oh, this is wonderful. But before you guys break out the oil, I should point out you can't pull the plug; I have a court order."
"You used to, but """,I have the right to face my accuser. Judge said so.
Not if no one's accusing you. All the charges have been dropped.,He doesn't have to die.
It's not Wegener's.,"If it's Wegener's, his lungs won't be able to handle it. As soon as they pull that plug he'll die."
He's still breathing.,It's not Wegener's. Wrong again.
"He's stable, but one of his arms is now paralyzed.","The real question is, why is he still alive?"
He's alive because you were wrong. It's not Wegener's.,"Yeah, seem to be doing that a lot, lately. People keep living because of my mistakes."
Progression of the paralysis pretty much confirms Hamilton was right. It's ALS.,Assuming this is a progression of his paralysis.
He can't move his arm.,"Yes, his arm is paralyzed. Yes, his legs are paralyzed. Why is Everyone so gung-ho to connect those two conditions? You could think I'm wrong, but that's no reason to stop thinking?"
How about this one? He's not our Patient.,"Nope, not good enough."
"He could have suffered a stroke when he was intubated. Well, blood clots are common in intubated Patients. The inactivity causes """,Not interested in why. Let's get an MR-angiogram for an embolic stroke.
He doesn't want you treating him!,They dropped the court order.
"Yeah, and that girl dropped the charges against Kobe. Doesn't mean that he should call her and see if she's free to get a sundae.","Good point, but I can go within 50 feet of him now."
Okay. Get outta here.,"Sure. That makes sense. You hate me for saving your life. In fairness to your side, you were also dying because of me, so """
You know I didn't wanna be saved.,"That's what's interesting. Your thyroid was low, but not low enough to cause depression."
"So, you came here to tell me that Even if I can't walk I can still hear the birds sing? Enjoy the rainbow, and feeling the sun shine on my face?","Those things are fun. Okay, life sucks. Your life sucks more than most. It's not as bad as some, which is depressing all by itself. But do me a favor. Just let me find out what's wrong with you. And if you still want to kill yourself, I'll give you a hand. That sound fair?"
"Yeah, sure. I'll stick around to indulge your obsession. It's over. I lost my air. The session the other night, with those kids? That was a test to see if I could still play. I can't.",And that's all you are? A musician?
"I got one thing, same as you.","Really? Apparently, you know me better than I know you."
"I know that limp. I know the empty ring finger. And that obsessive nature of yours, that's a big secret. You don't risk jail and your career just to save somebody who doesn't want to be saved unless you got something, anything, one thing. The reason normal people got wives and kids and hobbies, whatEver. That's because they don't got that one thing that hits them that hard and that true. I got music, you got this. The thing you think about all the time, the thing that keeps you south of normal. Yeah, makes us great, makes us the best. All we miss out on is Everything else. No Woman waiting at home after work with the drink and the kiss, that ain't gonna happen for us.",That's why God made microwaves.
"Yeah, but when it's over, it's over.",Yeah.
What are you doing?,"It's not over for me. Either you're gonna call the cops again, or we're doing this. If you wanna die, you can do it just as easily inside an MRI maParkne."
"Listen, listen, I just think it wouldn't hurt him to learn a little humility.","So, what's the verdict?"
There's a good chance we can still bust the clot with tPA.,Do it. See what happens to his arm.
"I don't know, I guess! It's just with Dr. Hamilton here, I notice a difference in styles.",His style involves humility. Another difference in our styles: I don't care much for apologies. You can go.
"I didn't know you were standing there when I said that, okay? It was completely rude.","Do you mean genuine humility? You know, with all the self-doubt and the self-questioning, or Hamilton's polite, patronizing ""Aw, shucks"" humility?"
You're both excellent doctors.,Thank you. And humility is an important quality. Especially if you're wrong a lot.
You've been wrong Every step of the way.,"Of course, when you're right, self-doubt doesn't help anybody, does it? We gotta go."
"Congratulations, Gregg.","Congratulations! Why, Marty?"
"Now look, I know we've had our differences, but I think when a person does something well it ought to be recognized.","The phone works. Next time you want to make me feel all warm and fuzzy, leave a message. Don't get me wrong, I'm overcome with joy."
Yeah?,What?
You just touched my leg.,"What, you gonna charge me with assault again?"
"No, I felt it.","He now has feeling all the way up to calf. This is the way medicine evolved. Patients sometimes get better. You have no idea why, but unless you give a reason they won't pay you. Anybody notice if there's a full moon?"
You're saying he just spontaneously got better?,"No, I'm saying let's rule out the lunar god and go from there."
I'm sure he will.,It's one of ours.
How do we figure out which drug is doing the trick?,Easy. We stop all of them.
One of those drugs is helping him.,"And the rest? Steroids, antibiotics, anti-inflammatories, they're toxic if we leave him on all of them."
He'll walk again.,"Yeah, to his own funeral."
"But if we stop Everything, he'll get worse.","True. And then we'll add our medications back, one at a time. If he gets better, then we'll have our answer."
And if he doesn't get better?,Then we're in trouble. Not as much as he is. I suppose that was your point.
"I assume you want me to convince Hamilton to stop his treatments, too?",Don't care.
You know at least five of the medications are part of his protocol?,If his stuff was helping the guy would be playing tennis six months ago. It's our round of treatment that's helping.
"So your philosophy is, ""If they don't want treatment, they get it shoved down their throat, but if it might cure their paralysis, whoa, better slow down.""","Yeah. My old philosophy used to be ""Live and let live,"" but I'm taking this needlepoint class and they gave us these really big pillows."
What's your philosophy on employee relations?,That's a very tiny pillow.
Gregg. Can I have a word?,"Can it wait for the commercial, Marty? Say ""hi"" to my friend, Jimmy."
"Pleasure. Your diagnostic trial ""","Seriously, commercial's in about five minutes."
-- it's a dangerous game.,Only if we're watParkng in the bathtub.
I need to know exactly what medications you were giving John Henry.,"Forget it. And if Foreman tells you what John Henry used to be on """
You're gonna fire him?,Nope. Make him live out Every day of his two-year contract.
Foreman asked to leave?,Not yet.
"But how do you know I made him an ""","You're a polite twit, but you're not an idiot."
I need to know what medications you've taken him off of.,"Wait a second. You're not an idiot. You need to know what medications I've stopped, because!"
"Wait a second. You're not an idiot. You need to know what medications I've stopped, because!",He's getting worse. Right now you still work for me. Come on!
He's getting worse. Right now you still work for me. Come on!,"No feeling, no wiggling. The bad news is, John Henry's back where he started. The good news is, Hamilton looks bad."
"Yeah, it's not whether you win or lose, it's whether the other guy loses.",What was the first thing we put him on?
"Steroids, for the pneumonia.","Well, put him back on them. Give them 24 hours, see what happens."
His lungs aren't great. It might cause another respiratory collapse.,Sure hope not. I didn't much like that Lawyer. And get an MRI.
He already got one. And an MRA.,"Well, obviously something is different now. Do it again. Chase, take care of the scan. Cameron, put him on the steroids. We should pRobably talk, huh?"
"He has to. If he doesn't, he's telling Foreman he needs him. House can't handle that. Oh, my God!",I checked him out. He's a great doctor. You think he's better than I am?
This about your ego?,"Answer the question. It's not going to change my opinion of myself. Might affect my opinion of you, but that shouldn't affect your opinion of yourself. Now I'm getting confused. If you think he's a better doctor than I am, then you should take the job. Otherwise, you should get him to buy you two or three more nostalgic lunches and politely decline."
It's that simple? I should just ignore the mockery and abuse?,"Oh, how do I abuse you?"
"How do you not? If I make a mistake ""","I hold you accountable, so what?"
Dr. Hamilton forgives. He's capable of moving on.,That is not what he does!
"I screwed up his case, he told me ""","He nEver said you were forgiven. I was there, he said it wasn't your fault."
So?,"So, it was. You took a chance, you did something great. You were wrong, but it was still great. You should feel great that it was great. You should feel like crap that it was wrong. That's the difference between him and me. He thinks you do your job, and what will be, will be. I think that what I do and what you do matters. He sleeps better at night. He shouldn't."
"Intradural, compressing his spine.",Causing his paralysis.
How could Hamilton have missed an AVM?,"Well, we missed it, too. 'Cause it wasn't there before."
You saying it just grew overnight?,"No. It was on the spine, it wasn't on the MRI. Same anatomic location."
It's not there.,"Well, what is there?"
Nothing.,Or something that looks like nothing.
"If it's inflammation, the steroids would have shrunk it down.","REvealing the AVM, which has always been there, hiding behind its own swelling. We remove that, he'll walk again."
Dr. House! Cora's meeting me outside with a limo. I'm being discharged.,Fifty bucks says I can beat you to the curb.
Thanks for sticking with the case.,I can't do anything else. You're much more easily amused when you can walk.
How bizarre. I'm guessing you weren't exactly Mr. Sunshine Even before your leg got messed up. I want you to have this.,Wow.
"You can sell it if you want to, just promise me you won't play it. How Many of those pills you taking?",I'm in pain.
"Yeah. Aren't we all? So, where do you buy these things, do they have cane stores?","Oh, don't worry about it. You'll be jogging before you need a second one. See you tomorrow, Eric."
He's wrong,"Foreman is wrong? The neurologist is wrong, about a neurological pRoblem?"
He took one look at her and figured it was a scam.,"So, you figure he's not being objective"
"House, the Woman had a twitch. She had a seizure.",Both of which Foreman saw?
He just wanted her out the door!,"Whoah, whoah, whoah, back up there, big fella. Foreman's the guy you want to take a swing at."
I - just - want her to get some medical attention.,That's not Even close to being true. Something else. Something personal. Give me the file. Looks like this will be fun.
Brain tumor?,"Glad you could join us, Eric. What's the differential for a twitch in the wrist?"
"Yes, you've got that going for you. How could I have doubted your medical opinion?","The big question, you're missing it, all of you."
"Oh, geez.",Who is she?
"Most people wouldn't, you do.","The only thing we know for sure about Jane Doe is that her name isn't Jane Doe. Which means no medical history. Allergies, medication, previous diagnoses, treatment "" we have no baseline, no context for medical treatment."
Wow. Looks just like insulin.,Vomit. Still moist. What do you think - a couple of days old?
Uhhh! trying to make me hurl?,Yeah. And here's the big finish!
Low magnesium could cause a twitch.,"Or high calcium. Or it's a coincidence. The point is, we don't know anything."
"So do the MRI. Find out ""","The MRI can wait. Hang a banana bag, give her 24 hours to correct the electrolyte imbalance, we'll take it from there."
"Okay. Even if she's not faking, what's so fascinating about this case?","At the moment, how much you don't want me to take it. That's pretty fascinating."
I can't beliEve you authorized this.,Really? Sounds exactly like something I'd do.
"She can't have an MRI. The CT scan shows she has a surgical pin in her arm, the MRI magnet would have ripped it out of her body. You like the Alien movies? You had no medical history, what were you thinking?","We'll surgically remove the pin, then do the MRI, does that sound good?"
She has an electrolyte imbalance.,"Dr. Foreman, a neurologist, beliEves this Woman has a brain tumor."
"Actually, I ""","Hey, don't Ever apologize for a medical opinion. If he's right, we don't do this test, the Patient dies. Now I realize that you have a specialty of your own, but does yours have anything to do with the brain? His does."
"How are we supposed to ""","Hey! He knows more homeless people than any of us. Go check out the 'hood, dawg."
"Sure, she's not conning us, the MRI is.",Not wearing a coat in this weather. That is so wrong.
She drew these. They might give us a clue.,She sign them? Her name would be a start.
"All the mythology, the locations, they're all dependant on life experience.",Philadelphia. Look at that skyline! It's very evocative. The Chrysler Building.
And the Chrysler Building's in New York.,"Mmm! I'm getting Philly. And that cactus, well, that's a smashed car "" car accident."
A cactus in Philadelphia?,"Water "" well, water's October, right?"
Obviously.,"On the page number 22, so that's October 2nd, 2002. Ergo, the Patient was in a car accident two years ago last October."
My goodness! Was she okay?,"Broke her arm, I think. They fixed it "" with this."
"Broke her arm, I think. They fixed it "" with this.","Surgical pin. Better than a wallet. Serial numbers in case of recall, tied to a Patient's name."
That's why you insisted on the MRI. So you could remove the surgical pin from her arm.,"You didn't think I was going to do it to save your sorry ass, did you? You might want to take a look at that. Her name is Victoria Matson, at least that's the one she used then. Any hospital with the record of treating her should be sending that information."
"Well, we got her sedated and stabilized.",And we still think there's nothing wrong with her?
"Well, nothing's changed.","We almost killed her "" that's different. And we know who she is."
"Well, I'd be bummed out too. Zero degrees, living in a box.",Put her back on it. She cheers up; she might stop biting people
"And the cancer wouldn't account for the alleged twitch, or any other of her alleged symptoms.","Actually, it would. Neoplastic Syndrome associated with the cancer could cause her to twitch like a bunny on crystal meth. Ultrasound her ovaries."
Did you find a brain tumor on her MRI?,No. Foreman was wrong. I'm starting to wonder about that guy's medical chops.
"The little ones are licking each other again, and Harry's got a seeping wart on his extra toe. What room should we go to?","You know, I think I might be coming down with something. Hate to give it to you guys. Sorry."
"Oh yeah. Just walk out, like I'm not going to do anything.",Bye-bye.
Working hard?,"This stuff's pretty good. Calendrica, works for the counseled genius. Bad guy's Mr. Fury, fairly generic, no special skills, but apparently very well organized. Think you work hard, try ruling the universe."
You trying to teach me something here?,"We've got the flowing dress, the ring. Think the Patient was married? Maybe it was a bad break up, maybe he dumped her cause she was on drugs."
You care about her personal history?,"Nope. Question is, why don't you? I hate to cite a cliché, but "" Dad on the streets?"
Dad's with Mom.,They're both living on the streets?
No! On a pension.,So who pissed you off?
"Pfft. Right now, you.","Your turn, you gonna tell me why this case?"
"She's my new girlfriend, I'm having a tattoo designed, I was hoping you could find out her name.",So she's just another sick person the kindly Dr. Wilson has made sure doesn't get lost in the big ugly system.
"Yes, I forgot, I need a reason to give a crap.",You're giving two craps.
Dr. House.,Time for Girl Scout cookies already?
"Since you're too sick to work in the clinic """,Okay.
- I thought you could do some teaParkng. Patient histories.,My specialty.
"When you teach, you learn so much, don't you think?",It's all about the giving back. Good old Cuddy. Always thinking. She assign you a Patient to interview?
Mmmhmm.,Then why are you still here?
Oh. I thought you were too sick to be down here.,"Had to get away from those students so I faked a page. Foreman's parents, happily married, 40 years."
Mazel Tov.,"Keinahora. So, why does he hate homeless people? If it's an uncle or a grandparent you'd think he'd use it in his college application essay. Family struggles beats a 4.0 GPA any day."
I think he had a 4.0,Maybe he's just a snob.
You really don't need to know Everything about Everybody.,"I don't need to watch the OC, but it makes me happy."
"Yeah, delirious. What's the other file?","Wilson, James. Boy wonder oncologist. You know him?"
"Did your pager really just go off, or are you ditParkng the conversation?",Why can't both be true? Come on.
You were right. There's nothing we can do for her here. Might as well put her back on the street.,Unless it's not cancer.
"Oh, you're joking.","Well, hard not to "" nothing funnier than cancer. But what if it's a tuberculoma. She's living out on the streets, breathing all kinds of crap 24/7. The odds are she's got TB, why can't she have a nice benign growth to go with it?"
A solid mass on her ovary. Ovarian cancer's way more likely.,"You're right. It's not Even close. Start her on INH, Rifampicin and Streptomycin."
But that's the treatment for a tuberculoma.,And what is the treatment for advanced ovarian cancer?
It's not a tuberculoma. Can't be.,I didn't know the biopsy was back.
"Her temperature's 105. Treatment's not working, it's cancer. She's dying.",105!
"It's the lab results from the biopsy, it's definitely a tuberculoma.","So "" we're right about the diagnosis, and the treatment for that diagnosis is killing her. Perfect."
The something else is gonna to melt her brain.,Poach. Better metaphor.
"Oh, just like you were going to do!","Okay you two, grab some scalpels and settle this like doctors. Send blood and urine cultures and get a chest x-ray. And fine, take her off Prozac and put her on Bromocryptin for the Serotonin syndrome."
Ple-ee-ease!,Continue.
Continue.,"And you're calling attention to your bosom by wearing a low-cut top. Oh, I'm sorry, I thought we were having a state-the-obvious contest. I'm competitive by nature."
"And you're calling attention to your bosom by wearing a low-cut top. Oh, I'm sorry, I thought we were having a state-the-obvious contest. I'm competitive by nature.","Nope. I'm supposed to be teaParkng you. If I can do that without listening, more power to me."
"Nope. I'm supposed to be teaParkng you. If I can do that without listening, more power to me.",This guy's supposed to have universal power over all of gravity; how come his hair won't stay down? That's just stupid.
This guy's supposed to have universal power over all of gravity; how come his hair won't stay down? That's just stupid.,Hard to beliEve that one Patient could slip past Cuddy and get herself admitted with a sprained wrist. Two seems almost impossible - what room?
Room 2106,Patients lie. But usually only one lie at a time; how much does she weigh?
Patients lie. But usually only one lie at a time; how much does she weigh?,"Poundage, ladies, and by the by, what color is her nose?"
"Poundage, ladies, and by the by, what color is her nose?","Almost nothing. She's either under 90 pounds, or she has a red nose. I gotta go."
"Almost nothing. She's either under 90 pounds, or she has a red nose. I gotta go.","That would be telling. Oh, I am just too nice. It starts with 'C'."
So's the chest x-ray.,I assume there's a positive coming.
We know it's definitely an infection. And we know where it is.,"Well, meningitis is nice and simple. Get her in isolation and start her on Ceftriaxone. Either she gets better or she dies. Let me know which one happens!"
"Security tape confirms it, she stole some clothes and she's gone.","Wrong coat. The cape's in the closet, I had it cleaned."
Funny.,You gonna save her?
"In her comics, Mr. Fury lives in Sloan Harbor. The night she came in, she was at a rave at 1408 Sloan Street.","You've been reading. My, how you've changed."
"You are a doctor; do what doctors do. Pick up the phone, dial 911 and a cop on the other end does what cops do and finds the missing person! I assume the rest of you have doctor things to do "" I know you do.","Do you Even know what that is, or are you just guessing Everything that starts with 'C'?"
"Do you Even know what that is, or are you just guessing Everything that starts with 'C'?","CacPark "" C-A-C- she's going alphabetically."
"CacPark "" C-A-C- she's going alphabetically.","It sets off my eyes. Hi, Jodi, I'm Dr. House. What brings you to the hospital?"
My wrist.,How did that happen?
I was riding the Ferris wheel and this huge seagull flew right at me.,How horrifying.
I'm not lying.,"Of course you are. You have no idea what happened. You have no memory. Korsakoff's syndrome. Her brain is damaged by excessive drinking or insufficient diet; pretty obviously the latter. She has no new memories, no new ideas, can't Even process that idea. So her brain fills the gaps as best it can using visual clues. The horse on your shirt led her to the riding accident and the surf scene on your clipboard led her to the beach."
"Of course you are. You have no idea what happened. You have no memory. Korsakoff's syndrome. Her brain is damaged by excessive drinking or insufficient diet; pretty obviously the latter. She has no new memories, no new ideas, can't Even process that idea. So her brain fills the gaps as best it can using visual clues. The horse on your shirt led her to the riding accident and the surf scene on your clipboard led her to the beach.","I didn't say 'C'. Or did I? Lesson to be learned "" treat Everybody as if they have Korsakoff's, we all lie anyway. Give her Thiamine right away, she'll bounce back pretty quickly. And then get her to eat some cake and ice cream."
"I didn't say 'C'. Or did I? Lesson to be learned "" treat Everybody as if they have Korsakoff's, we all lie anyway. Give her Thiamine right away, she'll bounce back pretty quickly. And then get her to eat some cake and ice cream.",Yes?
Yes?,"Hi! Jodi, I'm Dr. House. What happened to your wrist?"
"There was this weird old guy, he had a cane """,See? It's like it nEver happened. Perfect forgiveness.
We must be wrong about the meningitis. Maybe it's structural heart disease.,Her heart rate dropped when you administered the Adenosine.
Two seconds.,It's still meningitis.
"If it is, with the delay in treatment, she's got almost no chance.",Start the treatment.
Read the report. I found her lying on the grass.,You should read my reports. I make up stuff all the time. What really happened?
"Oh, since it's you! I found her lying on the grass.",Wow. That is a great looking gun.
It's not a gun. It's a taser.,"It's so cool looking. What does it do? Fire about 60,000 volts? At least, that's what it would take to jack someone's heart up to 150s."
"Okay. Okay. Let's just say I tell you what happened. This stays between you and me, right? I found her. Lying. On the. Grass.","Fine. Don't tell me. Tell my friend, Ben Franklin. I watch a lot of cop shows."
"Well then, she's dying. The meningitis treatment isn't helping her, she's getting worse.","Well, that brings us to the bad news. The cop tasered her."
Jerk. PRobably couldn't get to his real gun fast enough.,"The first time he hit her in the thigh, and she just kept going, like it was nothing. Right about here. She didn't feel the taser."
Localized numbness?,"Yeah, in that one spot."
The diabetes?,I don't think so.
No alcohol. Not entrapment syndrome. Can't be a vitamin deficiency. We can't Chase down Every sensory neuropathy.,Is that where she bit you?
What the hell?!,Can't get angry if you don't feel anything.
Can't get angry if you don't feel anything.,"First there's localized numbness, then sensitivity to light, disorientation, paranoia, ineffectiveness of sedatives, and then hydrophobia. Fear of water."
"There've only been, what, 20 cases in the last ten years?","Yeah. That's because non-homeless people, when they get bitten, they get shots."
How much time does she have?,"A day, maybe two. And if you don't get your shot in, say, the next three hours, I'm going to have to make another affirmative action hire."
Oh. You followed me?,"No. You were wearing rain boots today, but you were Parked in the underground garage, so the only reason you'd need boots was if you were hitting the streets! I followed you."
Didn't we have a conversation about friendship?,"Yeah. I had some follow up questions. I've met your parents, and your brother """
I have two brothers.,"Why wouldn't you tell me """
It was irrelevant.,Why not?
Because he's not in my life any more.,"Well, that's relevant."
Look out!,What lie are they telling you?
"Okay, yes.",Come on.
"All right, thank you. Okay, pharmaceuticals were delivered this morning, but shipping accidentally sent the box with Vicodin to research.",Hmmm. That's a tough one. If only we had some way to communiCate with another part of the building.
"16-year-old MVA victim. He's been in and out of the hospital for three weeks with internal bleeding, no one can find the cause.","Internal bleeding after a car accident, wow, that's shocking! Let me talk to shipping, I speak their language."
"It's been three weeks """,Your hospital doesn't have my pain medication.
The crash didn't cause the bleed.,"Right, the bleed caused the crash. Blood got on the road, it got all slippery. Anyone here got drugs?"
"She saw his blood, she got distracted, and she crashed his dad's Porsche.",Dad loved that.
"He was """,Don't talk.
It's gonna be an hour.,"Well, thank God you took control."
Kid? How old?,He must have inherited it. He's gonna die. My condolences.
"This is impossible. A 16-year-old doesn't get hemolytic anemia ""","Give her back the file; you have bigger pRoblems to tend to, like my meds."
"Elevated indirect bilirubin, low serum haptoglobin!",He's got meningitis.
Uh! no.,Artificial heart valve.
No.,Get Everyone in my office.
Get Everyone in my office.,"Kid's gonna be dead in a matter of days if we don't figure out why his red blood cells are disintegrating, so differential diagnosis, people."
You want us to recheck?,No. If it's environmental he'll get better just from staying here.
Didn't mean to offend you.,"Okay, so it's infection, lupus, drugs, or cancer."
Cancer?,Why not? Great meeting.
Shouldn't we narrow it down before we finish?,"My leg gave us 'till 11:15. I'll talk to Wilson about lymphoma, ANA for lupus, radioimmunoassay for drugs, and you! you test for whatEver you thought it was. I've got a date with a pharmacist."
"My leg gave us 'till 11:15. I'll talk to Wilson about lymphoma, ANA for lupus, radioimmunoassay for drugs, and you! you test for whatEver you thought it was. I've got a date with a pharmacist.","Come on, come on, come on, come on! [As soon as House gets the bottle, he dry-swallows a couple pills. Cuddy catches up to him on his way out the clinic doors."
"You know, there are other ways to Manage pain.","Like what, laughter? Meditation? Got a guy who can fix my third chakra?"
You're addicted.,"If the pills ran my life I'd agree with you, but it's my leg busy calendaring what I can't do."
You're in denial.,"Right, I nEver had an infarction in my leg, no dead muscle, no nerve damage. Doesn't Even hurt. Actually, it kind of tickles. The Parkcks dig this. Better than a puppy."
"It's not just your leg. You wanna get high! You're doing what, 80 mg a day?","Oh, that's way too much! Moderation is the key. Unless there's pain."
It's double what you were taking when I hired you.,'Cause you're twice as annoying.
I can't always be here to protect you. Patients talk. Doctors talk.,"About how big your ass has gotten lately? Not me, I defend it. You got back."
You can't go a week without your drugs.,"No, I don't want to go a week without the drugs, it'll hurt."
"No, you can't. If you're just getting off pain medication, it will hurt, you won't be having a great time, but you'll make it. If you're detoxing you'll have Parklls, nausea! your pain will magnify five, ten times. You won't make it.","Well, I guess we'll nEver know."
I'll give you a week off clinic duty if you can go a week off narcotics.,No way! I love the clinic.
You love the pills. Two weeks.,Pills don't make me high. They make me neutral.
A month.,"You're on, mister."
Definitely not cancer.,Nothing?
"Negative for drugs. ANA was negative, gallium scan was clear!","Yeah, I got that from the ""nothing"". Where's his hematocrit?"
"Excuse me, someone? Help, please?",Polite for a dying kid.
How long has it been?,I'm fine.
We have two hours to figure this out. Either we restore the blood flow or he loses the eye.,"Forget the eye. Tell him to use the other one to look on the bright side. The clot tells us something. It could help us figure out what he has, which could mean he gets to live. Differential diagnosis, people. How does internal bleeding suddenly start clotting?"
ANA was negative. It's not lupus.,This is true. But why are you the one saying it? What are you doing here? I thought we ruled out cancer.
I was lonely.,"Well, go see Cuddy. She needs a friend."
"That's funny, she said you might need one.","That's why you're here? She wants you to keep an eye on me, make sure I don't cheat."
"No, I want to make sure you don't start firing shots from the clock tower.",I'm fine.
Does your leg hurt?,You Ever been shot?
"There's gonna be side effects. Insomnia, depression, tachycardia ""","Withdrawal symptoms. Not applicable. The only side-effects I'm going to have are some pain and thirty days of freedom. Am I the only one who's concerned about a dying kid? If it's not lupus, what else?"
It's not an infection. Gallium scan didn't rEveal anything.,"Okay, what hides from a gallium scan?"
"Right. Clot slips off, travels through the artery, and gets backed up in the eye.","I'm sorry, I wasn't paying attention. What happened?"
It's an infection. In his heart?,"Great. Echocardiogram for the heart and IV antibiotics for the infection, stat."
"Great. Echocardiogram for the heart and IV antibiotics for the infection, stat.",Is it my birthday?
Is it my birthday?,"I'm not lonely, my leg hurts."
She's a real masseuse.,"She's five hundred dollars an hour, minimum."
"She's hot, so she's a hooker? What kind of pathetic logic is that?","The envious, jealous, I-nEver-got-any-in-high-school kind of logic, hello!"
"She's a legitimate masseuse, come on. God, she's beautiful.",Because she's beautiful I should do it? What kind of pathetic logic is that?
"The envious, jealous, I'm-married-and-I-can't-do-anything logic! Hello.","Hi. Listen, I'm, I'm sure you're really good at whatEver it is you do """
Dame su Mano.,"Hey, no, let go of my hand."
Shhhh!,"Ow! Ow! ah! ah!. oh, my God. Bueno."
"So the blindness will be perManent, won't it?",Thank you.
Bye.,I had a massage.
Looks like you had a masseuse. Help the pain?,I'm fine.
"I know. Kid's echo was normal, no sign of any vegetations on heart valves.",NEver met a diagnostic study I couldn't refute.
And the antibiotics aren't doing anything.,"So, double the dosage. 70mg."
That'll box his kidneys for sure!,"Oh, you're right. Save the kidney. The guy we transplant it into will be grateful."
"Also, I have an idea for his eye.",Nothing we can do about his eye.
"He's got a clot in his retinal """,Read the memo.
"If we remove some of the liquid from the eye itself, the Vitreous humor, it might make some extra room around the retinal artery.","If the artery expands, the clot might move out on its own. That's very creative. Why didn't you mention this before?"
"Well, I didn't think of it before.",You should have.
"Help, help help!",What's wrong?
"ALT and GDT were in the tank. Our antibiotics """,Would not have caused this.
I wouldn't do that!,It's not drugs! His liver is shutting down.
What? What does that mean?,It means he's all better. He's ready to go home.
What?,"What do you think it means? You can't live without a liver, he's dying!"
What is your pRoblem?,"Bum leg, what's yours?"
His son's dying and you're mocking him?,It was a dumb question.
"No, it wasn't.","You're right, it wasn't."
"Exactly! He's detoxing, can't you see he's out of his mind?","That's what they said about Manson. Do you want to continue talking about me or should we discuss what the liver damage tells us? I was born in a log cabin in Illinois """
"Hemolytic anemia doesn't cause liver damage. Add the fact he's coughing blood, you've got three of the indicators of organ-threatening lupus.",It's moving too fast. Could be hepatitis-E.
There's only been one case of hep-E originating in the US since --,Its history. Since he's been in and out of the country four times in the last year!
You really think he's got hep-E?,No. I think the lupus is way more likely.
All right. Then let's start him on IV Cytoxan and plasmapheresis.,"No, we should rule out hep-E."
You just said it wasn't hep-E.,"I said lupus was way more likely, but if we treat for lupus and it is hep-E."
He's toast.,Exactly.
But there isn't a treatment for hepatitis-E. Either he'll get better on his own or he'll continue to deteriorate.,"Yeah, I went to medical school, too. Start him on solumedrol."
If he's got hep-E that's only going to make him worse!,"Not as much. Goldilocks, people. It won't hurt him so much that it'll kill him, and it won't hurt him so little that we can't tell. It'll hurt him just right. And if it does nothing!"
We'll know it's not hep-E and start treating him for lupus.,Now watch me do it while drinking a glass of water.
"What do we tell the dad? ""We think your kid has lupus, so we're gonna treat him for hepatitis-E? And oh yeah, if it really is hep-E, we're not actually giving him hep-E medication, so it's gonna make him worse, not better?""",You think he'll go for that?
So you want us to lie?,No. I want you to lie.
Why me?,Because he trusts you.
I think it's broken. What did you do?,Accidentally closed the car door on it.
No. Door would have broken the skin. This looks like something hard and smooth smashed it.,I want my Lawyer.
The brain has a gating mechanism for pain. Registers the most sEvere injury and blocks out the others. Did it work?,"Well, my hand hurts like hell. Yeah, I feel much better."
Huh.,Don't splint it. I want to be able to bang it against the wall if I need to administer another dose. Just! tape it up.
Why did you tell Cameron to lie to Mr. Foster?,Make it tight will ya.
Answer me.,"Nothing I could say is going to change how you feel, and nothing could come out of your reaction that is going to change what I plan to do, so I prefer to say nothing."
"So, that was you just saying nothing.",Uh-huh.
The guy is furious.,And scared.
"So, what are you going to do? The father's insisting on the lupus treatment.","Yeah, Cameron told me and I told her to tell him no."
"Well, you can't just sit back and let the kid die.",Neither can the father.
So that's your plan? You're gonna play Parkcken with the kid's life?,"Well, he's the dad. I should win easily."
Take the week off.,"What, 'cause I lied to a Patient? I take risks, sometimes Patients die. But not taking risks causes more Patients to die, so I guess my biggest pRoblem is I've been cursed with the ability to do the math."
"I told him that you wouldn't treat him for the lupus until """,What did he say?
That's what I told him.,And that's when he caved.
Yeah. He agreed to do it your way.,Two plus two equals four.
"Hallucinations are a symptom of psychosis, which is the fourth diagnostic criterion. It's official. This is lupus.",Who's Jules? Any mention of her in the medical history?
"It doesn't matter what he's hallucinating about, it matters why! It's lupus!","There's no need to get snippy. This kind of lupus takes years to get to this point, it's been a week."
"Yeah, and a 16-year-old kid shouldn't have hemolytic anemia, or be bleeding out of Every orifice, but he is. We had an opportunity to treat this, instead we diddled around with hepatitis-E and now it's too late. He needs a new liver. We screwed up.",You're saying I screwed up.
Yes.,Then why didn't you just say that?
You gonna just blame this on her?,Did you agree with my recommendation to treat for hep-E?
And she made herself quite clear.,And then she went and lied to the father. That's why you're angry.
"Yeah, I trusted you.",You always trust me. Big mistake. Lupus is a bad diagnosis.
It's the best diagnosis we've got.,That doesn't make it good.
"No, it just makes it this kid's only chance to live.","Put him on the transplant list. And make sure Cuddy knows, see if she can do anything to get him close to the top. Cafeteria. Stay away from the sushi."
And what happened to your hand?,Got stuck in a drawer.
"Yeah, right. You're going through withdrawal.","No, I am going through pain. Pain causes nausea."
"I took this job to work with you, not cover your ass. Your Vicodin.",And your solution is to give me drugs. It's interesting.
And hope for someone to die.,Who's Jules?
